city,confirmed,deaths,estimated_population,confirmed_per_100k_inhabitants,death_rate,pib_per_capita,n_vaccinations,demographic_density,vaccinated,vaccinated_per_100k_inhabitants
SAO BENTINHO,476,6,4566,10424.87954,0.0126,10789.22,3072,21.12,2315,50700.83223828296
SAO BENTO,5842,68,34344,17010.24924,0.0116,13985.53,19990,124.41,15823,46072.094106685305
SAO DOMINGOS,329,2,3097,10623.18373,0.0061,9769.31,2341,16.88,1770,57152.082660639324
SAO DOMINGOS DO CARIRI,194,5,2630,7376.42586,0.0258,9116.37,2176,11.06,1611,61254.752851711026
SAO FRANCISCO,199,4,3384,5880.61466,0.0201,10351.83,3026,35.39,2232,65957.44680851063
SAO JOAO DO CARIRI,433,4,4184,10348.94837,0.0092,10585.72,2887,6.65,2240,53537.28489483748
SAO JOAO DO RIO DO PEIXE,1343,32,18026,7450.3495,0.0238,10596.51,14303,38.36,10609,58853.87773216465
SAO JOAO DO TIGRE,213,5,4415,4824.46206,0.0235,8001.03,3425,5.39,2510,56851.64212910532
SAO JOSE DA LAGOA TAPADA,1026,8,7626,13453.97325,0.0078,8180.31,6062,22.13,4490,58877.524259113554
SAO JOSE DE CAIANA,392,10,6376,6148.05521,0.0255,7534.46,4243,34.08,3177,49827.478042659975
SAO JOSE DE ESPINHARAS,480,6,4656,10309.27835,0.0125,9641.04,3573,6.56,2600,55841.92439862543
SAO JOSE DE PIRANHAS,2105,44,20329,10354.66575,0.0209,10104.57,14840,28.19,11010,54159.08308328005
SAO JOSE DE PRINCESA,231,1,3950,5848.10127,0.0043,7661.94,2726,26.7,2066,52303.79746835443
SAO JOSE DO BONFIM,138,6,3588,3846.15385,0.0435,8255.1,2360,24.0,1772,49386.845039018954
SAO JOSE DO BREJO DO CRUZ,184,1,1811,10160.13252,0.0054,14037.06,1288,6.66,987,54500.276090557694
SAO JOSE DO SABUGI,693,8,4147,16710.87533,0.0115,22762.09,3373,19.38,2519,60742.70557029178
SAO JOSE DOS CORDEIROS,134,6,3618,3703.7037,0.0448,8885.0,2777,9.54,2087,57683.80320619127
SAO JOSE DOS RAMOS,530,7,5998,8836.27876,0.0132,8143.73,4504,56.07,3438,57319.106368789595
SAO MAMEDE,907,32,7702,11776.16204,0.0353,9076.14,6053,14.6,4511,58569.20280446637
SAO MIGUEL DE TAIPU,576,11,7410,7773.27935,0.0191,9278.73,5006,72.37,3871,52240.21592442645
SAO SEBASTIAO DE LAGOA DE ROCA,1206,21,11728,10283.08322,0.0174,8122.42,7853,221.16,6033,51440.99590723056
SAO SEBASTIAO DO UMBUZEIRO,258,5,3512,7346.24146,0.0194,9416.94,2584,7.02,1991,56691.34396355353
SAO VICENTE DO SERIDO,545,3,10848,5023.96755,0.0055,6733.08,6601,37.0,5189,47833.70206489675
SAPE,3777,114,52804,7152.86721,0.0302,11442.84,31873,158.92,25046,47432.01272630862
SERRA BRANCA,1011,34,13754,7350.58892,0.0336,9543.22,9894,18.89,7495,54493.23833066744
SERRA DA RAIZ,555,5,3131,17725.96615,0.009,10511.94,2242,110.17,1710,54615.13893324816
SERRA GRANDE,222,6,2916,7613.16872,0.027,9635.91,2616,35.64,1946,66735.25377229082
SERRA REDONDA,694,11,7021,9884.63182,0.0159,9172.89,5665,126.11,4251,60546.93063666145
SERRARIA,641,11,6068,10563.61239,0.0172,9458.24,3879,95.53,2967,48895.847066578775
SERTAOZINHO,682,7,5089,13401.45412,0.0103,9654.13,3626,134.0,2790,54824.13047750049
SOBRADO,555,9,7815,7101.72745,0.0162,12122.06,5436,119.41,4214,53921.94497760716
SOLANEA,4227,50,26227,16116.97869,0.0118,11395.82,19731,115.01,15151,57768.711633049905
SOLEDADE,1244,15,15102,8237.31956,0.0121,11879.93,10079,24.53,7640,50589.32591709707
SOSSEGO,291,3,3594,8096.82805,0.0103,9615.95,2829,20.48,2130,59265.44240400667
SOUSA,7160,139,69723,10269.20815,0.0194,17681.86,44666,89.1,35320,50657.60222595126
SUME,2761,41,17031,16211.61412,0.0148,10886.7,13358,19.16,9940,58364.15947390054
TACIMA,453,10,10969,4129.8204,0.0221,7316.91,5523,41.6,4193,38225.90938098277
TAPEROA,869,17,15441,5627.87384,0.0196,7755.25,10106,22.53,7747,50171.62100900201
TAVARES,1002,19,14759,6789.07785,0.019,8203.2,10335,59.42,7856,53228.53851886984
TEIXEIRA,1021,37,15248,6695.96013,0.0362,9493.08,11858,87.96,8729,57246.852046169995
TENORIO,142,2,3081,4608.89322,0.0141,9652.42,2035,26.72,1597,51833.82018825057
TRIUNFO,1063,21,9464,11232.03719,0.0198,7921.71,6441,41.93,4920,51986.47506339814
UIRAUNA,840,29,15300,5490.19608,0.0345,11427.53,10796,49.52,8243,53875.816993464054
UMBUZEIRO,545,14,9911,5498.94057,0.0257,7738.11,6807,51.28,5121,51669.86176975078
VARZEA,132,1,2841,4646.25132,0.0076,11215.8,2524,13.15,1801,63393.171418514605
VIEIROPOLIS,288,5,5372,5361.13179,0.0174,7827.71,3012,34.37,2407,44806.40357408786
VISTA SERRANA,190,6,3824,4968.61925,0.0316,9374.85,2526,57.24,1913,50026.15062761506
ZABELE,147,1,2255,6518.84701,0.0068,10496.11,1966,18.97,1452,64390.243902439026
